Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,GME,INTC,GME,INTC,GME,INTC,GME,INTC,GME,INTC
Date,,,,,,,,,,
2024-08-23,22.209999084472656,20.540000915527344,22.6200008392334,20.93000030517578,22.18000030517578,20.260000228881836,22.25,20.31999969482422,4056700,73398400
2024-08-26,21.360000610351562,20.1299991607666,22.389999389648438,20.559999465942383,21.299999237060547,19.950000762939453,22.25,20.530000686645508,4780500,58534800
2024-08-27,20.739999771118164,20.06999969482422,21.290000915527344,20.260000228881836,20.65999984741211,19.84000015258789,21.059999465942383,20.1299991607666,4118800,43862000
2024-08-28,19.899999618530273,19.610000610351562,21.06999969482422,20.110000610351562,19.8799991607666,19.510000228881836,20.709999084472656,19.979999542236328,5219500,50144900
2024-08-29,21.510000228881836,20.1299991607666,22.450000762939453,20.600000381469727,20.469999313354492,19.75,20.5,19.760000228881836,10428400,64529700
2024-08-30,23.420000076293945,22.040000915527344,23.479999542236328,22.1200008392334,21.729999542236328,21.0,21.81999969482422,21.25,15680700,177785400
2024-09-03,23.139999389648438,20.100000381469727,24.690000534057617,21.690000534057617,22.81999969482422,19.989999771118164,24.149999618530273,21.540000915527344,11350500,115305500
2024-09-04,22.1200008392334,19.43000030517578,23.709999084472656,20.049999237060547,22.110000610351562,19.280000686645508,22.850000381469727,19.760000228881836,6700900,85871900
2024-09-05,22.389999389648438,19.399999618530273,22.68000030517578,19.899999618530273,21.65999984741211,19.239999771118164,22.0,19.280000686645508,5101200,65388800
2024-09-06,23.920000076293945,18.889999389648438,24.479999542236328,19.489999771118164,21.799999237060547,18.639999389648438,22.399999618530273,19.440000534057617,23884000,92686500
2024-09-09,24.25,19.06999969482422,25.020000457763672,19.540000915527344,23.15999984741211,18.950000762939453,23.239999771118164,19.0,14064700,64244100
2024-09-10,23.450000762939453,18.979999542236328,24.799999237060547,19.110000610351562,23.1299991607666,18.510000228881836,24.770000457763672,19.030000686645508,19175500,55621300
2024-09-11,20.639999389648438,19.639999389648438,21.09000015258789,19.690000534057617,19.309999465942383,18.520000457763672,20.81999969482422,19.010000228881836,28921500,71403100
2024-09-12,20.399999618530273,19.360000610351562,20.709999084472656,19.540000915527344,19.989999771118164,19.040000915527344,20.469999313354492,19.43000030517578,9567500,51602900
2024-09-13,20.649999618530273,19.65999984741211,20.920000076293945,19.799999237060547,20.34000015258789,19.489999771118164,20.489999771118164,19.489999771118164,8053700,44236300
2024-09-16,20.09000015258789,20.90999984741211,20.520000457763672,21.06999969482422,19.920000076293945,19.760000228881836,20.450000762939453,20.030000686645508,5981200,149337000
2024-09-17,20.15999984741211,21.469999313354492,20.559999465942383,22.579999923706055,19.920000076293945,21.239999771118164,20.239999771118164,21.709999084472656,6307600,196249800
2024-09-18,19.649999618530273,20.770000457763672,20.260000228881836,21.739999771118164,19.420000076293945,20.719999313354492,20.049999237060547,21.360000610351562,10728200,118727900
2024-09-19,19.510000228881836,21.139999389648438,20.030000686645508,21.690000534057617,19.469999313354492,21.030000686645508,19.889999389648438,21.280000686645508,8902600,99829200
2024-09-20,21.850000381469727,21.84000015258789,22.030000686645508,23.139999389648438,19.479999542236328,20.350000381469727,19.6299991607666,20.889999389648438,61919200,260377900
2024-09-23,22.309999465942383,22.559999465942383,22.559999465942383,22.81999969482422,21.229999542236328,22.030000686645508,21.540000915527344,22.43000030517578,13969500,184439100
2024-09-24,22.6299991607666,22.809999465942383,22.719999313354492,23.110000610351562,21.540000915527344,22.290000915527344,22.610000610351562,22.530000686645508,12121400,113082500
2024-09-25,22.18000030517578,23.540000915527344,22.829999923706055,24.059999465942383,22.06999969482422,22.729999542236328,22.15999984741211,22.799999237060547,6139700,117013400
2024-09-26,22.290000915527344,23.920000076293945,22.639999389648438,24.420000076293945,21.8700008392334,23.25,22.399999618530273,24.280000686645508,5777500,95416900
2024-09-27,22.479999542236328,23.90999984741211,23.100000381469727,24.65999984741211,21.969999313354492,23.700000762939453,22.389999389648438,24.15999984741211,7416500,85883300
2024-09-30,22.93000030517578,23.459999084472656,23.639999389648438,23.950000762939453,22.170000076293945,23.09000015258789,22.299999237060547,23.739999771118164,10161700,66308200
2024-10-01,21.969999313354492,22.690000534057617,23.1200008392334,23.719999313354492,21.809999465942383,22.260000228881836,22.950000762939453,23.459999084472656,7189200,86344400
2024-10-02,21.489999771118164,22.389999389648438,22.299999237060547,23.06999969482422,21.40999984741211,22.350000381469727,21.860000610351562,22.670000076293945,5673100,59033900
2024-10-03,21.200000762939453,22.260000228881836,21.790000915527344,22.729999542236328,21.110000610351562,21.649999618530273,21.360000610351562,22.139999389648438,4665800,49565900
2024-10-04,21.399999618530273,22.59000015258789,21.969999313354492,22.90999984741211,21.290000915527344,22.299999237060547,21.479999542236328,22.700000762939453,5286200,49845500
2024-10-07,20.899999618530273,22.3799991607666,21.530000686645508,22.649999618530273,20.809999465942383,22.020000457763672,21.350000381469727,22.399999618530273,5988000,54928700
2024-10-08,20.709999084472656,23.31999969482422,21.270000457763672,23.420000076293945,20.530000686645508,22.049999237060547,20.899999618530273,22.25,4840500,58650500
2024-10-09,20.5,23.459999084472656,20.739999771118164,23.479999542236328,20.299999237060547,23.059999465942383,20.5,23.25,3914000,44759000
